article,adresse,nom,statut,propositions
"Appel du collectif ""des moyens pour l'inclusion scolaire"" 13",/13/appel-du-collectif-des-moyens-pour-linclusion-scolaire-13/,collectif_des_moyens_pour_l-inclusion_scolaire,introuvable,
"L’épidémie flambe, élèves et personnels doivent être protégés !",/13/lepidemie-flambe-eleves-et-personnels-doivent-etre-proteges/,cnt_so_educ_30_10_20.pdf,douteux,2020/10/cnt_so_educ_30_10_20.pdf | sites/2/2020/10/cnt_so_educ_30_10_20.pdf
Mercredi 22 janvier 2020 :  Occupation festive et revendicative devant,/13/mercredi-22-janvier-2020-occupation-festive-et-revendicative-devant-le-rectorat-aix/,appel_occupation_place_lucien_paye_mercredi_22_janvier_2020,introuvable,
Education : les E3C ça sera sans nous !,/13/education-les-e3c-ca-sera-sans-nous/,appel_acad_e3c,introuvable,
"Avec ou sans âge pivot, la retraite à points on n'en veux pas : retrai",/13/avec-ou-sans-age-pivot-la-retraite-a-points-on-nen-veux-pas-retrait-du-projet-macron-philippe/,Retraite_13janv,introuvable,
"Banquet de lutte lundi 23/12, le mouvement contre les retraites Macron",/13/banquet-de-lutte-lundi-23-12-le-mouvement-contre-les-retraites-macron-continue/,cnt_so_retraites_dec_2019,introuvable,sites/2/2019/12/cnt_so_retraites_dec_2019-4.pdf
Avec la CNT-SO   DÉFENDRE NOS DROITS  ET NOTRE DIGNITÉ !  Chez ELIOR S,/13/avec-la-cnt-so-defendre-nos-droits-et-notre-dignite-chez-elior-services-proprete-et-sante/,profession_de_foi_elections_elior_cse-paca,introuvable,sites/2/2019/09/profession_de_foi_elections_elior_cse-paca_rectifiee.pdf
Plus de 4 mois de grève au NH Collection Marseille : continuons la sol,/13/plus-de-4-mois-de-greve-au-nh-collection-marseille-continuons-la-solidarite-active-et-financiere/,caisse_de_greve_nh-3.pdf,douteux,2019/08/caisse_de_greve_nh-3.pdf | sites/2/2019/08/caisse_de_greve_nh-3.pdf
"Jeunesse non scolarisée, Jeunesse en danger !",/13/jeunesse-non-scolarisee-jeunesse-en-danger/,Courrier_dasen_recteur_21_mars_2018,introuvable,
"Nettoyage : Stop au mépris et à l’exploitation ! En 2018, on s'organis",/13/nettoyage-stop-au-mepris-et-a-lexploitation-en-2018-on-sorganise-avec-la-cnt-so/,cnt_so_13_nettoyage,introuvable,sites/2/2013/10/cnt-so_13_-_nettoyage_salaires.pdf | sites/2/2013/12/cnt-so-13-nettoyage-francaise_de_service.pdf | sites/2/2014/03/cnt-so_13_-_nettoyage_salaires_2014.pdf | sites/2/2015/10/cnt-so_13_-_nettoyage_tract_general.pdf
Présentation de la CNT Solidarité Ouvrière,/13/presentation-de-la-cnt-solidarite-ouvriere/,cnt_so_tract_presentation,introuvable,
Convention HCR (Hôtellerie - restauration) : grilles des salaires 2017,/13/convention-hcr-hotellerie-restauration-grilles-des-salaires-2017-2018-et-qualifications/,cnt_so13_convention_hcr_2017_2018,introuvable,
Convention HCR (Hôtellerie - restauration) : grilles des salaires 2017,/13/convention-hcr-hotellerie-restauration-grilles-des-salaires-2017-2018-et-qualifications/,grille_classif,introuvable,sites/2/2017/01/grille_classif1.pdf | sites/2/2017/12/grille_classif1-2.pdf
"Double mobilisation contre la sous-traitance hôtelière, vendredi 01/12",/13/double-mobilisation-contre-la-sous-traitance-hoteliere-vendredi-01-12/,mobilisationsoustraitance_01dec17,introuvable,
Semaine d'action contre la suppressions de contrats CUI dans l'Educati,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,pe_tition_aade,introuvable,2017/11/pe_tition_aade_a_10.pdf | sites/2/2017/11/pe_tition_aade_a_10.pdf
Semaine d'action contre la suppressions de contrats CUI dans l'Educati,/13/semaine-daction-contre-la-suppressions-de-contrats-cui-dans-leducation-du-13-au-17-novembre/,motion_aade_conseil_d_e_cole_unitaire,introuvable,2017/11/motion_aade_conseil_d_e_cole_unitaire-1.odt | sites/2/2017/11/motion_aade_conseil_d_e_cole_unitaire-1.odt
