page,titre,adresse,nom,statut,fichier,candidats
914,Réforme de l’assurance chômage : c’est toujours non !,/13/reforme-de-lassurance-chomage-cest-toujours-non/,cnt_so_assurance_chomage_mars_2021.pdf,exact,2021/03/cnt_so_assurance_chomage_mars_2021.pdf,2021/03/cnt_so_assurance_chomage_mars_2021.pdf | sites/2/2021/03/cnt_so_assurance_chomage_mars_2021.pdf
924,8 mars : journée internationale de lutte pour les droits des femmes !,/13/8-mars-journee-internationale-de-lutte-pour-les-droits-des-femmes/,cnt_so_8_mars_2021.pdf,exact,2021/03/cnt_so_8_mars_2021.pdf,2021/03/cnt_so_8_mars_2021.pdf | sites/2/2021/03/cnt_so_8_mars_2021.pdf
941,"Appel du collectif ""des moyens pour l'inclusion scolaire"" 13",/13/appel-du-collectif-des-moyens-pour-linclusion-scolaire-13/,collectif_des_moyens_pour_l-inclusion_scolaire,introuvable,,
966,"Education : les précaires de ""vie sco"" en grève à partir du 19 janvier 2021 !",/13/education-les-precaires-de-vie-sco-en-greve-a-partir-du-19-janvier-2021/,cnt_so_educ_vie_sco_janvier_21.pdf,exact,sites/2/2021/01/cnt_so_educ_vie_sco_janvier_21.pdf,sites/2/2021/01/cnt_so_educ_vie_sco_janvier_21.pdf
986,Novotel Marseille Prado : grève contre la répression anti-syndicale et le vol d’heures !,/13/novotel-marseille-prado-greve-contre-la-repression-anti-syndicale-et-le-vol-dheures-2/,com_novotel_27nov20.pdf,exact,sites/2/2020/11/com_novotel_27nov20.pdf,2020/12/com_novotel_27nov20.pdf | sites/2/2020/11/com_novotel_27nov20.pdf
987,"Éducation : appel à une grève des personnels ""vie scolaire"" mardi 1er décembre",/13/education-appel-a-une-greve-des-personnels-vie-scolaire-mardi-1er-decembre/,com_greve_vie_scolaire.pdf,exact,sites/2/2020/11/com_greve_vie_scolaire.pdf,sites/2/2020/11/com_greve_vie_scolaire.pdf
992,Novotel Marseille Prado : grève contre la répression anti-syndicale et le vol d’heures !,/13/novotel-marseille-prado-greve-contre-la-repression-anti-syndicale-et-le-vol-dheures/,comnovotel_17nov20.pdf,exact,sites/2/2020/11/comnovotel_17nov20.pdf,2020/12/comnovotel_17nov20.pdf | sites/2/2020/11/comnovotel_17nov20.pdf
996,Le combat pour la santé et les intérêts des travailleur·euse·s continue !,/13/le-combat-pour-la-sante-et-les-interets-des-travailleur-euse-s-continue/,cnt_so_combat_sante_travailleurs_nov_20.pdf,exact,sites/2/2020/11/cnt_so_combat_sante_travailleurs_nov_20.pdf,sites/2/2020/11/cnt_so_combat_sante_travailleurs_nov_20.pdf
997,Rentrée catastrophique : trop c’est trop ! Pour notre santé et celle du service public d’Éducation : dégageons Blanquer !,/13/rentree-catastrophique-trop-cest-trop-pour-notre-sante-et-celle-du-service-public-deducation-degageons-blanquer/,cnt_so_educ_greve_10_11_20.pdf,exact,2020/11/cnt_so_educ_greve_10_11_20.pdf,2020/11/cnt_so_educ_greve_10_11_20.pdf | sites/2/2020/11/cnt_so_educ_greve_10_11_20.pdf
1006,Education : J. M Blanquer vous souhaite une choyeuse rentrée !,/13/education-j-m-blanquer-vous-souhaite-une-choyeuse-rentree/,cnt_so_educ_choyeuse_rentree.pdf,exact,2020/10/cnt_so_educ_choyeuse_rentree.pdf,2020/10/cnt_so_educ_choyeuse_rentree.pdf | sites/2/2020/10/cnt_so_educ_choyeuse_rentree.pdf
