page,titre,adresse_page,lien,code,famille,statut,cible,detail
293,Rentrée scolaire 2023 : dossier spécial de la Fédération Éducation & Recherche CNT-SO,/13/rentree-scolaire-2023-dossier-special-de-la-federation-education-recherche-cnt-so/,https://educ.cnt-so.org/travailleur%c2%b7euse-du-superieur-et-de-la-recheche-organise-toi-syndique-toi/,404,wordpress,repare,https://educ.cnt-so.org/article/travailleureuse-du-superieur-et-de-la-recheche-organise-toi-syndique-toi/,travailleureuse-du-superieur-et-de-la-recheche-organise-toi-syndique-toi
516,L’intersyndicale des livreurs interpelle le gouvernement sur la situation des sans-papiers UBERisés,/13/lintersyndicale-des-livreurs-interpelle-le-gouvernement-sur-la-situation-des-sans-papiers-uberises/,https://cnt-so.org/manifestation-des-livreurs-uberises-en-colere-lundi-12-09-a-paris/,404,wordpress,laisse,,
1142,Retraites : vers une lutte prolongée pour le retrait !,/13/retraites-vers-une-lutte-prolongee-pour-le-retrait/,http://www.cnt-so.org/IMG/pdf/cnt_so_retraites_27_janvier_2020.pdf,404,fichier_spip,laisse,,0 fichier(s) de ce nom
1165,Bosser plus longtemps pour une retraite au rabais ? Les retraites Macron c’est TOUJOURS non !,/13/bosser-plus-longtemps-pour-une-retraite-au-rabais-les-retraites-macron-cest-toujours-non/,http://www.cnt-so.org/IMG/pdf/cnt_so_4p_retraites_2019-2-2.pdf,404,fichier_spip,repare,/documents/(à verser),2019/12/cnt_so_4p_retraites_2019-2-2.pdf
1182,Revers judiciaire d'ELIOR contre la RSS de la CNT-SO dans l'agence Propreté & Santé sud-est,/13/revers-judiciaire-delior-contre-la-rss-de-la-cnt-so-dans-lagence-proprete-sante-sud-est/,http://www.cnt-so.org/13/spip.php?article262,404,irreparable,laisse,,
1357,"Nettoyage : comment calculer ses heures majorées (dimanche, fériés, complémentaires)",/13/nettoyage-comment-calculer-ses-heures-majorees-dimanche-feries-complementaires/,http://www.cnt-so.org/Nettoyage-grilles-des-salaires653,404,spip,laisse,,titre SPIP en double
1358,"Nettoyage : Stop au mépris et à l’exploitation ! En 2018, on s'organise avec la CNT-SO !",/13/nettoyage-stop-au-mepris-et-a-lexploitation-en-2018-on-sorganise-avec-la-cnt-so/,http://www.cnt-so.org/Nettoyage-grilles-des-salaires653b.,404,spip,laisse,,titre SPIP en double
1375,"De Clichy à Marseille les ""invisibles"" de la sous-traitance hôtelière se font entendre !",/13/de-clichy-a-marseille-les-invisibles-de-la-sous-traitance-hoteliere-se-font-entendre/,http://www.cnt-so.org/Greve-a-l-Holiday-Inn-Paris-Clichy,404,spip,laisse,,
1393,En grève et dans la rue le 16 novembre contre la casse de nos droits !,/13/en-greve-et-dans-la-rue-le-16-novembre-contre-la-casse-de-nos-droits/,http://www.cnt-so.org/IMG/pdf/cnt_so_16_11_17.pdf,404,fichier_spip,laisse,,0 fichier(s) de ce nom
1402,"Contre la casse de nos droits, on redescend dans la rue dès le 21 septembre  !",/13/contre-la-casse-de-nos-droits-on-redescend-dans-la-rue-des-le-21-septembre/,http://www.cnt-so.org/Baisse-des-cotisations-sociales,404,spip,repare,https://13.cnt-so.org/article/baisse-des-cotisations-sociales-attention-arnaques/,baisse-des-cotisations-sociales-attention-arnaques
1402,"Contre la casse de nos droits, on redescend dans la rue dès le 21 septembre  !",/13/contre-la-casse-de-nos-droits-on-redescend-dans-la-rue-des-le-21-septembre/,http://www.cnt-so.org/IMG/pdf/cnt_so_21_09_17.pdf,404,fichier_spip,laisse,,0 fichier(s) de ce nom
1415,"Contre les ordonnances Macron, on prend la rue avec le Front social ! RDV à Marseille, lundi 19H, à 18h aux mobiles (Réformés Canebière)",/13/contre-les-ordonnances-macron-on-prend-la-rue-avec-le-front-social-rdv-a-marseille-lundi-19h-a-18h-aux-mobiles-reformes-canebiere/,http://www.cnt-so.org/13/spip.php?article233,404,irreparable,laisse,,
